Timestamp,Frequency_Hz
2026-03-06T10:56:50.717717,49.28776257991778
2026-03-06T10:56:50.821117,49.07631169011496
2026-03-06T10:56:50.925847,50.22658459359374
2026-03-06T10:56:51.031103,49.46942426529126
2026-03-06T10:56:51.135388,50.17000718833736
2026-03-06T10:56:51.237563,50.23828212635184
2026-03-06T10:56:51.342850,50.12931750329318
2026-03-06T10:56:51.448167,49.50470460302328
2026-03-06T10:56:51.553464,50.91111913097622
2026-03-06T10:56:51.656659,50.90665039091816
2026-03-06T10:56:51.923549,48.18134082129087
2026-03-06T10:56:52.024818,48.584747020155646
2026-03-06T10:56:52.130079,48.10084208123845
2026-03-06T10:56:52.234009,49.83039595463193
2026-03-06T10:56:52.337649,49.41225072180388
2026-03-06T10:56:52.442976,49.61456840847871
2026-03-06T10:56:52.548186,48.730533485608056
2026-03-06T10:56:52.653172,50.166597449091014
2026-03-06T10:56:52.758460,50.043600569044344
2026-03-06T10:56:52.861350,48.85150609799392
2026-03-06T10:56:52.966709,50.54573102414877
2026-03-06T10:56:53.072045,52.00982501451746
2026-03-06T10:56:53.177331,50.36204783854723
2026-03-06T10:56:53.279879,47.69530981774897
2026-03-06T10:56:53.383375,50.80770714206466
2026-03-06T10:56:53.488202,49.5113293675282
2026-03-06T10:56:53.593529,49.75245716676596
2026-03-06T10:56:53.694454,50.49041059889231
2026-03-06T10:56:53.799463,46.97175820386694
2026-03-06T10:56:53.901185,49.36501213926297
2026-03-06T10:56:54.007169,50.552883321049706
2026-03-06T10:56:54.112469,50.613871621608375
2026-03-06T10:56:54.217222,50.27028704486418
2026-03-06T10:56:54.322524,48.686918703126445
2026-03-06T10:56:54.426198,49.654924292748724
2026-03-06T10:56:54.531593,49.152086135390356
2026-03-06T10:56:54.632885,48.543031614712284
2026-03-06T10:56:54.738220,50.213819514744316
2026-03-06T10:56:54.841845,49.641722511324694
2026-03-06T10:56:54.943576,49.623045232544804
2026-03-06T10:56:55.045002,50.8716263307628
2026-03-06T10:56:55.147760,49.899392918161055
2026-03-06T10:56:55.249895,50.344659446114434
2026-03-06T10:56:55.355112,50.48403676897508
2026-03-06T10:56:55.460339,49.340254379910085
2026-03-06T10:56:55.565699,51.19743812731559
2026-03-06T10:56:55.667302,49.115816624182834
2026-03-06T10:56:55.768874,51.250762858690386
2026-03-06T10:56:55.871540,49.250549395434284
2026-03-06T10:56:55.976902,51.50812860412542
2026-03-06T10:56:56.082216,52.074113368813876
2026-03-06T10:56:56.187277,51.29754599316506
2026-03-06T10:56:56.292669,50.34388664176696
2026-03-06T10:56:56.575940,49.30910627891812
2026-03-06T10:56:56.689510,50.06084247477296
2026-03-06T10:56:56.804696,49.42682646131934
2026-03-06T10:56:56.922676,48.93418008849767
2026-03-06T10:56:57.138606,49.4558068423061
2026-03-06T10:56:57.243856,50.32268206026698
2026-03-06T10:56:57.349120,50.232609334595445
2026-03-06T10:56:57.454447,51.154881911173085
2026-03-06T10:56:57.559792,50.71835894771578
2026-03-06T10:56:57.665584,51.12911315858741
2026-03-06T10:56:57.770980,51.329552328877206
2026-03-06T10:56:57.873431,50.86901705443328
2026-03-06T10:56:57.991819,51.22921218070922
2026-03-06T10:56:58.093441,49.59426495278208
2026-03-06T10:56:58.351705,50.700548511534265
2026-03-06T10:56:58.460595,50.1656970256022
2026-03-06T10:56:58.664422,51.014118307027196
2026-03-06T10:56:58.773575,50.11688171087244
2026-03-06T10:56:58.995306,51.3602475745578
2026-03-06T10:56:59.100526,50.232930218303096
2026-03-06T10:56:59.202161,50.02436528152407
2026-03-06T10:56:59.307382,51.509093054150966
2026-03-06T10:56:59.412693,51.711818830305596
2026-03-06T10:56:59.514557,49.23955293533158
2026-03-06T10:56:59.619902,52.04404162549914
2026-03-06T10:56:59.720250,52.29430272006368
2026-03-06T10:56:59.825340,49.31258649844039
2026-03-06T10:56:59.930677,51.34130615434005
2026-03-06T10:57:00.031193,51.2955069665373
2026-03-06T10:57:00.136602,51.28134910146109
2026-03-06T10:57:00.240988,47.88307209760187
2026-03-06T10:57:00.341552,48.499972756302896
2026-03-06T10:57:00.445763,51.446715110358745
2026-03-06T10:57:00.551108,49.818795108386446
2026-03-06T10:57:00.655089,49.85778146410976
2026-03-06T10:57:00.760423,50.36883744153192
2026-03-06T10:57:00.864874,52.56216437000831
2026-03-06T10:57:00.967194,49.260836176868494
2026-03-06T10:57:01.072530,50.692056765646086
2026-03-06T10:57:01.175734,50.00264345188523
2026-03-06T10:57:01.281121,50.85438147459953
2026-03-06T10:57:01.382538,51.80569915826554
2026-03-06T10:57:01.485570,50.92526855052677
